trend,sc,season,tm_tr,tm,w,l,t,mov,ats,total
win,is_away_dog,2017,Carolina,CAR,3,3,0,-1.2,3.8,NA
win,is_away_dog,2017,Chicago,CHI,2,6,0,-9.1,-0.9,NA
win,is_away_dog,2017,Cincinnati,CIN,2,5,0,-8.3,-1.9,NA
win,is_away_dog,2017,Cleveland,CLE,0,8,0,-11.4,-4.1,NA
win,is_away_dog,2017,Dallas,DAL,0,1,0,-20,-16.5,NA
win,is_away_dog,2017,Denver,DEN,0,4,0,-15.2,-10.1,NA
win,is_away_dog,2017,Detroit,DET,2,2,0,-4.2,-0.8,NA
win,is_away_dog,2017,Green Bay,GBY,2,4,0,-5.7,0.2,NA
win,is_away_dog,2017,Houston,HOU,1,7,0,-11.6,-3.2,NA
win,is_away_dog,2017,Indianapolis,IND,1,7,0,-13.4,-5,NA
win,is_away_dog,2017,Jacksonville,JAX,3,2,0,7.4,13.4,NA
win,is_away_dog,2017,Kansas City,KCY,2,1,0,2.3,6.8,NA
win,is_away_dog,2017,LA Chargers,LAC,2,4,0,-4.2,-0.6,NA
win,is_away_dog,2017,LA Rams,LAR,2,1,0,-0.7,1.7,NA
win,is_away_dog,2017,Miami,MIA,2,5,0,-14.4,-5.9,NA
win,is_away_dog,2017,Minnesota,MIN,1,1,0,-6,-0.8,NA
win,is_away_dog,2017,New Orleans,NOR,1,4,0,-0.6,3.2,NA
win,is_away_dog,2017,NY Giants,NYG,1,6,0,-6.9,-0.1,NA
win,is_away_dog,2017,NY Jets,NYJ,0,6,0,-12.3,-2.6,NA
win,is_away_dog,2017,Oakland,OAK,1,5,0,-9.3,-4.4,NA
win,is_away_dog,2017,Philadelphia,PHI,3,1,0,2,4.5,NA
win,is_away_dog,2017,Pittsburgh,PIT,1,0,0,6,9.5,NA
win,is_away_dog,2017,Seattle,SEA,2,3,0,-1,1.8,NA
win,is_away_dog,2017,San Francisco,SFO,2,4,0,-3.3,4.7,NA
win,is_away_dog,2017,Tampa Bay,TBY,0,5,0,-9.2,-2.5,NA
win,is_away_dog,2017,Tennessee,TEN,1,3,0,-11.2,-3.4,NA
win,is_away_dog,2017,Washington,WAS,2,4,0,-4.8,1.5,NA
win,is_away_fav,2016,Arizona,ARI,2,2,0,8,3.6,NA
win,is_away_fav,2016,Atlanta,ATL,3,0,0,20,16,NA
win,is_away_fav,2016,Baltimore,BAL,2,1,0,-3.3,-6.3,NA
win,is_away_fav,2016,Buffalo,BUF,1,2,0,-4,-6.8,NA
win,is_away_fav,2016,Carolina,CAR,1,3,0,-4,-6.8,NA
win,is_away_fav,2016,Chicago,CHI,0,1,0,-26,-28.5,NA
win,is_away_fav,2016,Cincinnati,CIN,1,2,0,-0.7,-3.2,NA
win,is_away_fav,2016,Dallas,DAL,3,1,0,7.8,4.2,NA
win,is_away_fav,2016,Denver,DEN,2,1,0,7.3,4,NA
win,is_away_fav,2016,Detroit,DET,0,1,0,-3,-6,NA
win,is_away_fav,2016,Green Bay,GBY,3,2,0,-2.2,-5.4,NA
win,is_away_fav,2016,Kansas City,KCY,3,1,0,8.8,6.1,NA
win,is_away_fav,2016,LA Chargers,LAC,1,1,0,2.5,-1,NA
win,is_away_fav,2016,LA Rams,LAR,1,1,0,-12.5,-14.2,NA
win,is_away_fav,2016,Miami,MIA,1,0,0,21,18.5,NA
win,is_away_fav,2016,Minnesota,MIN,2,2,0,-0.8,-3.9,NA
win,is_away_fav,2016,New Orleans,NOR,1,0,0,18,13,NA
win,is_away_fav,2016,New England,NWE,7,0,0,14.1,6.6,NA
win,is_away_fav,2016,NY Giants,NYG,1,0,0,14,7.5,NA
win,is_away_fav,2016,NY Jets,NYJ,1,0,0,3,0.5,NA
win,is_away_fav,2016,Oakland,OAK,2,0,0,5,3,NA
win,is_away_fav,2016,Philadelphia,PHI,0,2,0,-4,-7.2,NA
win,is_away_fav,2016,Pittsburgh,PIT,5,3,0,2,-2.6,NA
win,is_away_fav,2016,Seattle,SEA,2,4,0,-6,-10.5,NA
win,is_away_fav,2016,Tennessee,TEN,1,1,0,-7.5,-12.8,NA
win,is_away_fav,2016,Washington,WAS,2,1,0,7.3,5.3,NA
win,is_away_fav,2017,Arizona,ARI,2,1,0,0.3,-3.7,NA
win,is_away_fav,2017,Atlanta,ATL,5,2,0,1.9,-2.4,NA
win,is_away_fav,2017,Baltimore,BAL,2,0,0,20,15.5,NA
win,is_away_fav,2017,Buffalo,BUF,1,1,0,-3.5,-6.2,NA
win,is_away_fav,2017,Carolina,CAR,2,1,0,4.7,0.5,NA
win,is_away_fav,2017,Cincinnati,CIN,1,0,0,24,21,NA
win,is_away_fav,2017,Dallas,DAL,6,1,0,8.4,4.8,NA
win,is_away_fav,2017,Denver,DEN,1,3,0,-11.2,-13.4,NA
win,is_away_fav,2017,Detroit,DET,2,1,0,2.3,-0.5,NA
win,is_away_fav,2017,Green Bay,GBY,1,1,0,-3.5,-6.2,NA
win,is_away_fav,2017,Jacksonville,JAX,2,3,0,4.4,-0.5,NA
win,is_away_fav,2017,Kansas City,KCY,2,3,0,2.2,-2.2,NA
win,is_away_fav,2017,LA Chargers,LAC,2,0,0,14.5,10.2,NA
win,is_away_fav,2017,LA Rams,LAR,5,0,0,18.2,13.7,NA
win,is_away_fav,2017,Miami,MIA,0,1,0,-14,-19.5,NA
win,is_away_fav,2017,Minnesota,MIN,4,2,0,-0.7,-4.2,NA
win,is_away_fav,2017,New Orleans,NOR,2,1,0,13,9.2,NA
win,is_away_fav,2017,New England,NWE,6,1,0,9.9,3.4,NA
win,is_away_fav,2017,NY Giants,NYG,0,1,0,-10,-13,NA
win,is_away_fav,2017,NY Jets,NYJ,1,1,0,-10,-11.2,NA
win,is_away_fav,2017,Oakland,OAK,1,1,0,-7,-10.2,NA
win,is_away_fav,2017,Philadelphia,PHI,3,1,0,8,3.2,NA
win,is_away_fav,2017,Pittsburgh,PIT,6,1,0,7.6,0.9,NA
win,is_away_fav,2017,Seattle,SEA,3,0,0,11.3,5.7,NA
win,is_away_fav,2017,San Francisco,SFO,1,1,0,9,5.5,NA
win,is_away_fav,2017,Tampa Bay,TBY,1,1,0,2.5,0.8,NA
win,is_away_fav,2017,Tennessee,TEN,3,2,0,-4,-6.9,NA
win,is_away_fav,2017,Washington,WAS,0,2,0,-16,-19,NA
win,is_conference,2016,Arizona,ARI,6,5,1,4.2,1.5,NA
win,is_conference,2016,Atlanta,ATL,11,3,0,11.6,8.7,NA
win,is_conference,2016,Baltimore,BAL,7,5,0,3.4,2.3,NA
win,is_conference,2016,Buffalo,BUF,4,8,0,-2.3,-3.3,NA
win,is_conference,2016,Carolina,CAR,5,7,0,-3.2,-4.5,NA
win,is_conference,2016,Chicago,CHI,3,9,0,-8.2,-4.5,NA
win,is_conference,2016,Cincinnati,CIN,5,7,0,0.6,0.1,NA
win,is_conference,2016,Cleveland,CLE,1,11,0,-9.9,-3,NA
win,is_conference,2016,Dallas,DAL,9,4,0,4.5,2.2,NA
win,is_conference,2016,Denver,DEN,6,6,0,1.7,0.3,NA
win,is_conference,2016,Detroit,DET,7,6,0,-2.7,-0.5,NA
win,is_conference,2016,Green Bay,GBY,10,5,0,4.3,2.9,NA
win,is_conference,2016,Houston,HOU,8,6,0,-3.1,-1,NA
win,is_conference,2016,Indianapolis,IND,5,7,0,-1.3,-0.2,NA
win,is_conference,2016,Jacksonville,JAX,2,10,0,-5.2,-2.4,NA
win,is_conference,2016,Kansas City,KCY,9,4,0,5.2,2.5,NA
win,is_conference,2016,LA Chargers,LAC,4,8,0,0.3,1,NA
win,is_conference,2016,LA Rams,LAR,3,9,0,-11.8,-7.5,NA
win,is_conference,2016,Miami,MIA,7,6,0,-3.6,-0.9,NA
win,is_conference,2016,Minnesota,MIN,5,7,0,1,0.8,NA
win,is_conference,2016,New Orleans,NOR,6,6,0,1.9,1.8,NA
win,is_conference,2016,New England,NWE,13,1,0,14.6,7.2,NA
win,is_conference,2016,NY Giants,NYG,8,5,0,-0.6,-0.1,NA
win,is_conference,2016,NY Jets,NYJ,4,8,0,-8.5,-5,NA
win,is_conference,2016,Oakland,OAK,9,4,0,1.2,0.7,NA
win,is_conference,2016,Philadelphia,PHI,5,7,0,0.4,0.5,NA
win,is_conference,2016,Pittsburgh,PIT,11,4,0,5.1,1.7,NA
win,is_conference,2016,Seattle,SEA,7,6,1,2.9,-2.9,NA
win,is_conference,2016,San Francisco,SFO,2,10,0,-9.7,-3.2,NA
win,is_conference,2016,Tampa Bay,TBY,7,5,0,0.2,2.7,NA
win,is_conference,2016,Tennessee,TEN,6,6,0,-1.4,-1.7,NA
win,is_conference,2016,Washington,WAS,6,6,0,1.5,0.1,NA
win,is_conference,2017,Arizona,ARI,5,7,0,-5.6,-3.4,NA
win,is_conference,2017,Atlanta,ATL,10,4,0,4.7,2,NA
win,is_conference,2017,Baltimore,BAL,7,5,0,4.7,2.1,NA
win,is_conference,2017,Buffalo,BUF,7,6,0,-2.3,-0.2,NA
win,is_conference,2017,Carolina,CAR,7,6,0,-0.8,-1,NA
win,is_conference,2017,Chicago,CHI,1,11,0,-9,-3.8,NA
win,is_conference,2017,Cincinnati,CIN,6,6,0,-1,-1.2,NA
win,is_conference,2017,Cleveland,CLE,0,12,0,-10.2,-3.8,NA
win,is_conference,2017,Dallas,DAL,7,5,0,4.6,2.3,NA
win,is_conference,2017,Denver,DEN,4,8,0,-5.1,-5.2,NA
win,is_conference,2017,Detroit,DET,8,4,0,4.8,4.8,NA
win,is_conference,2017,Green Bay,GBY,5,7,0,-3.9,-2.3,NA
win,is_conference,2017,Houston,HOU,3,9,0,-5.8,-2.2,NA
win,is_conference,2017,Indianapolis,IND,3,9,0,-6.3,-1,NA
win,is_conference,2017,Jacksonville,JAX,11,4,0,11.5,10.2,NA
win,is_conference,2017,Kansas City,KCY,8,5,0,5.6,2.2,NA
win,is_conference,2017,LA Chargers,LAC,6,6,0,3.4,2.1,NA
win,is_conference,2017,LA Rams,LAR,7,6,0,4.5,2.8,NA
win,is_conference,2017,Miami,MIA,5,7,0,-5.1,-1.2,NA
win,is_conference,2017,Minnesota,MIN,11,3,0,4.9,2,NA
win,is_conference,2017,New Orleans,NOR,9,5,0,4.9,2.2,NA
win,is_conference,2017,New England,NWE,12,2,0,10.9,1.1,NA
win,is_conference,2017,NY Giants,NYG,1,11,0,-12.2,-8.6,NA
win,is_conference,2017,NY Jets,NYJ,5,7,0,-4.5,1.5,NA
win,is_conference,2017,Oakland,OAK,5,7,0,-4.2,-3.9,NA
win,is_conference,2017,Philadelphia,PHI,12,2,0,11.9,8.4,NA
win,is_conference,2017,Pittsburgh,PIT,10,3,0,5.8,0.7,NA
win,is_conference,2017,Seattle,SEA,7,5,0,1.2,-1.4,NA
win,is_conference,2017,San Francisco,SFO,3,9,0,-6,-0.4,NA
win,is_conference,2017,Tampa Bay,TBY,3,9,0,-4.5,-2,NA
win,is_conference,2017,Tennessee,TEN,9,5,0,-2.6,-3.3,NA
win,is_conference,2017,Washington,WAS,5,7,0,-4.4,-4.2,NA
win,is_division,2016,Arizona,ARI,4,1,1,8.7,4.1,NA
win,is_division,2016,Atlanta,ATL,5,1,0,9.8,7.8,NA
win,is_division,2016,Baltimore,BAL,4,2,0,2.8,1.4,NA
win,is_division,2016,Buffalo,BUF,1,5,0,-5.3,-5.8,NA
win,is_division,2016,Carolina,CAR,1,5,0,-6,-7.3,NA
win,is_division,2016,Chicago,CHI,2,4,0,-6.2,-0.7,NA
win,is_division,2016,Cincinnati,CIN,3,3,0,4.5,3.9,NA
win,is_division,2016,Cleveland,CLE,0,6,0,-11.8,-5.4,NA
win,is_division,2016,Dallas,DAL,3,3,0,-0.5,-1.3,NA
win,is_division,2016,Denver,DEN,2,4,0,-3,-4.1,NA
win,is_division,2016,Detroit,DET,3,3,0,-0.8,-0.6,NA
win,is_division,2016,Green Bay,GBY,5,1,0,7.2,2.3,NA
win,is_division,2016,Houston,HOU,5,1,0,2,2.3,NA
win,is_division,2016,Indianapolis,IND,3,3,0,1.3,0.2,NA
win,is_division,2016,Jacksonville,JAX,2,4,0,0.3,2.3,NA
win,is_division,2016,Kansas City,KCY,6,0,0,11,8.2,NA
win,is_division,2016,LA Chargers,LAC,1,5,0,-3.7,0.4,NA
win,is_division,2016,LA Rams,LAR,2,4,0,-13,-8.2,NA
win,is_division,2016,Miami,MIA,4,2,0,0.5,2.8,NA
win,is_division,2016,Minnesota,MIN,2,4,0,-0.2,-1.1,NA
win,is_division,2016,New Orleans,NOR,2,4,0,-2.8,-1.2,NA
win,is_division,2016,New England,NWE,5,1,0,11.8,3.9,NA
win,is_division,2016,NY Giants,NYG,4,2,0,1.8,3.2,NA
win,is_division,2016,NY Jets,NYJ,2,4,0,-7,-1,NA
win,is_division,2016,Oakland,OAK,3,3,0,-4.3,-4.6,NA
win,is_division,2016,Philadelphia,PHI,2,4,0,-0.7,-0.8,NA
win,is_division,2016,Pittsburgh,PIT,5,1,0,4.5,0.1,NA
win,is_division,2016,Seattle,SEA,3,2,1,5.5,-2.7,NA
win,is_division,2016,San Francisco,SFO,2,4,0,-1.2,6.8,NA
win,is_division,2016,Tampa Bay,TBY,4,2,0,-1,0.8,NA
win,is_division,2016,Tennessee,TEN,2,4,0,-3.7,-4.8,NA
win,is_division,2016,Washington,WAS,3,3,0,-0.7,-1.1,NA
win,is_division,2017,Arizona,ARI,3,3,0,-6.7,-4,NA
win,is_division,2017,Atlanta,ATL,4,2,0,3.2,-0.6,NA
win,is_division,2017,Baltimore,BAL,3,3,0,4.8,3.2,NA
win,is_division,2017,Buffalo,BUF,3,3,0,-5.2,-4.8,NA
win,is_division,2017,Carolina,CAR,3,4,0,-4,-3.1,NA
win,is_division,2017,Chicago,CHI,0,6,0,-9.5,-4.8,NA
win,is_division,2017,Cincinnati,CIN,3,3,0,0.7,1.2,NA
win,is_division,2017,Cleveland,CLE,0,6,0,-12.7,-6.1,NA
win,is_division,2017,Dallas,DAL,5,1,0,8.7,7.2,NA
win,is_division,2017,Denver,DEN,2,4,0,-5.3,-5.3,NA
win,is_division,2017,Detroit,DET,5,1,0,8.3,6.2,NA
win,is_division,2017,Green Bay,GBY,2,4,0,-6.3,-4.2,NA
win,is_division,2017,Houston,HOU,1,5,0,-7.2,-4.8,NA
win,is_division,2017,Indianapolis,IND,2,4,0,-8.3,-4.4,NA
win,is_division,2017,Jacksonville,JAX,4,2,0,13.5,11.1,NA
win,is_division,2017,Kansas City,KCY,5,1,0,9,6.4,NA
win,is_division,2017,LA Chargers,LAC,3,3,0,1.3,2,NA
win,is_division,2017,LA Rams,LAR,4,2,0,9.8,8.1,NA
win,is_division,2017,Miami,MIA,2,4,0,-6,-1.8,NA
win,is_division,2017,Minnesota,MIN,5,1,0,7.5,2.9,NA
win,is_division,2017,New Orleans,NOR,5,2,0,8,4.8,NA
win,is_division,2017,New England,NWE,5,1,0,13.2,1.2,NA
win,is_division,2017,NY Giants,NYG,1,5,0,-7.7,-2,NA
win,is_division,2017,NY Jets,NYJ,2,4,0,-2,5.4,NA
win,is_division,2017,Oakland,OAK,2,4,0,-5,-3.1,NA
win,is_division,2017,Philadelphia,PHI,5,1,0,8.8,5.2,NA
win,is_division,2017,Pittsburgh,PIT,6,0,0,7.2,1.7,NA
win,is_division,2017,Seattle,SEA,4,2,0,-1.8,-7.1,NA
win,is_division,2017,San Francisco,SFO,1,5,0,-1.3,3,NA
win,is_division,2017,Tampa Bay,TBY,1,5,0,-7.8,-1.3,NA
win,is_division,2017,Tennessee,TEN,5,1,0,2,-1.8,NA
win,is_division,2017,Washington,WAS,1,5,0,-9.8,-10.3,NA
win,is_dog,2016,Arizona,ARI,1,3,0,-8,-3.8,NA
win,is_dog,2016,Atlanta,ATL,4,3,0,3.6,7.1,NA
win,is_dog,2016,Baltimore,BAL,1,5,0,-4.3,0.2,NA
win,is_dog,2016,Buffalo,BUF,3,5,0,-1.8,1.9,NA
win,is_dog,2016,Carolina,CAR,1,4,0,-8.6,-3.6,NA
win,is_dog,2016,Chicago,CHI,2,10,0,-8.2,-2.7,NA
win,is_dog,2016,Cincinnati,CIN,2,5,0,-2.7,0.6,NA
win,is_dog,2016,Cleveland,CLE,1,15,0,-11.8,-5,NA
win,is_dog,2016,Dallas,DAL,4,1,0,4.6,8.7,NA
win,is_dog,2016,Denver,DEN,3,4,0,-4.9,-2.1,NA
win,is_dog,2016,Detroit,DET,5,6,0,-4,0.3,NA
win,is_dog,2016,Green Bay,GBY,3,3,0,0.5,4.7,NA
win,is_dog,2016,Houston,HOU,3,7,0,-6.9,-0.9,NA
win,is_dog,2016,Indianapolis,IND,4,6,0,0.7,4.9,NA
win,is_dog,2016,Jacksonville,JAX,2,11,0,-5,-0.8,NA
win,is_dog,2016,Kansas City,KCY,3,1,0,-5.5,-1.9,NA
win,is_dog,2016,LA Chargers,LAC,2,7,0,-3.9,-0.4,NA
win,is_dog,2016,LA Rams,LAR,3,9,0,-11.7,-5.3,NA
win,is_dog,2016,Miami,MIA,6,6,0,-5,0.6,NA
win,is_dog,2016,Minnesota,MIN,2,4,0,-1.5,1.9,NA
win,is_dog,2016,New Orleans,NOR,4,5,0,-0.8,2.8,NA
win,is_dog,2016,New England,NWE,1,0,0,2,11,NA
win,is_dog,2016,NY Giants,NYG,4,5,0,-5.2,-1,NA
win,is_dog,2016,NY Jets,NYJ,3,9,0,-9.4,-4.3,NA
win,is_dog,2016,Oakland,OAK,4,4,0,-3.8,-1.4,NA
win,is_dog,2016,Philadelphia,PHI,3,6,0,1.2,4.8,NA
win,is_dog,2016,Pittsburgh,PIT,1,2,0,-9.3,-4.2,NA
win,is_dog,2016,Seattle,SEA,1,1,1,-3,2.5,NA
win,is_dog,2016,San Francisco,SFO,2,11,0,-9.8,-1.8,NA
win,is_dog,2016,Tampa Bay,TBY,7,5,0,-0.8,3.6,NA
win,is_dog,2016,Tennessee,TEN,4,5,0,0,3.6,NA
win,is_dog,2016,Washington,WAS,3,3,1,-2.9,0.6,NA
win,is_dog,2017,Arizona,ARI,4,7,0,-8.5,-3.8,NA
win,is_dog,2017,Atlanta,ATL,1,2,0,-4.3,0.7,NA
win,is_dog,2017,Baltimore,BAL,2,4,0,0.7,4.5,NA
win,is_dog,2017,Buffalo,BUF,3,7,0,-10.3,-3.8,NA
win,is_dog,2017,Carolina,CAR,5,3,0,0.4,4.8,NA
win,is_dog,2017,Chicago,CHI,4,9,0,-5,1.8,NA
win,is_dog,2017,Cincinnati,CIN,3,6,0,-5.8,0,NA
win,is_dog,2017,Cleveland,CLE,0,16,0,-11,-4.4,NA
win,is_dog,2017,Dallas,DAL,1,3,0,-11.5,-8.5,NA
win,is_dog,2017,Denver,DEN,2,5,0,-5.4,-1,NA
win,is_dog,2017,Detroit,DET,3,5,0,-2.6,0.5,NA
win,is_dog,2017,Green Bay,GBY,2,8,0,-9.5,-4.3,NA
win,is_dog,2017,Houston,HOU,2,9,0,-7.8,-0.6,NA
win,is_dog,2017,Indianapolis,IND,2,12,0,-10.9,-4.2,NA
win,is_dog,2017,Jacksonville,JAX,4,3,0,7.6,12.4,NA
win,is_dog,2017,Kansas City,KCY,2,1,0,2.3,6.8,NA
win,is_dog,2017,LA Chargers,LAC,3,5,0,-2.2,0.9,NA
win,is_dog,2017,LA Rams,LAR,2,2,0,-5.8,-2.5,NA
win,is_dog,2017,Miami,MIA,4,9,0,-8.2,-1.9,NA
win,is_dog,2017,Minnesota,MIN,2,1,0,0.3,4.8,NA
win,is_dog,2017,New Orleans,NOR,1,5,0,-3.2,0.9,NA
win,is_dog,2017,NY Giants,NYG,3,10,0,-8.7,-2.3,NA
win,is_dog,2017,NY Jets,NYJ,4,10,0,-4.6,2.8,NA
win,is_dog,2017,Oakland,OAK,2,7,0,-9.2,-4.5,NA
win,is_dog,2017,Philadelphia,PHI,6,2,0,5.8,8.7,NA
win,is_dog,2017,Pittsburgh,PIT,1,1,0,1.5,4.5,NA
win,is_dog,2017,Seattle,SEA,3,5,0,-3.6,-1.2,NA
win,is_dog,2017,San Francisco,SFO,4,9,0,-5.5,0.5,NA
win,is_dog,2017,Tampa Bay,TBY,1,7,0,-5.9,0.4,NA
win,is_dog,2017,Tennessee,TEN,1,4,0,-9.8,-2.4,NA
win,is_dog,2017,Washington,WAS,3,7,0,-4.7,0.1,NA
win,is_fav,2016,Arizona,ARI,6,5,1,7.3,1.2,NA
win,is_fav,2016,Atlanta,ATL,9,3,0,11.8,6.5,NA
win,is_fav,2016,Baltimore,BAL,7,3,0,4.8,0.9,NA
win,is_fav,2016,Buffalo,BUF,4,4,0,4.4,-0.7,NA
win,is_fav,2016,Carolina,CAR,5,6,0,0.9,-3.2,NA
win,is_fav,2016,Chicago,CHI,0,3,0,-14,-16.7,NA
win,is_fav,2016,Cincinnati,CIN,4,4,1,3.2,-0.9,NA
win,is_fav,2016,Dallas,DAL,9,3,0,7.4,2.6,NA
win,is_fav,2016,Denver,DEN,6,3,0,7.8,3.8,NA
win,is_fav,2016,Detroit,DET,4,2,0,2,-2.4,NA
win,is_fav,2016,Green Bay,GBY,9,4,0,3.5,-1.6,NA
win,is_fav,2016,Houston,HOU,7,0,0,6,2.6,NA
win,is_fav,2016,Indianapolis,IND,4,2,0,2,-1.8,NA
win,is_fav,2016,Jacksonville,JAX,1,2,0,-5.7,-7.7,NA
win,is_fav,2016,Kansas City,KCY,9,4,0,7.5,3.3,NA
win,is_fav,2016,LA Chargers,LAC,3,4,0,3.1,-0.4,NA
win,is_fav,2016,LA Rams,LAR,1,3,0,-7.5,-10.1,NA
win,is_fav,2016,Miami,MIA,4,1,0,5,-0.1,NA
win,is_fav,2016,Minnesota,MIN,6,4,0,2.9,-1.1,NA
win,is_fav,2016,New Orleans,NOR,3,4,0,3.1,-1.1,NA
win,is_fav,2016,New England,NWE,15,2,0,12.1,4,NA
win,is_fav,2016,NY Giants,NYG,7,1,0,6,1.8,NA
win,is_fav,2016,NY Jets,NYJ,2,2,0,-5.2,-6.9,NA
win,is_fav,2016,Oakland,OAK,8,1,0,5.3,2.1,NA
win,is_fav,2016,Philadelphia,PHI,4,3,0,3.6,0.1,NA
win,is_fav,2016,Pittsburgh,PIT,12,4,0,6.3,1.2,NA
win,is_fav,2016,Seattle,SEA,10,5,0,5,-2.1,NA
win,is_fav,2016,San Francisco,SFO,0,2,0,-11.5,-13.5,NA
win,is_fav,2016,Tampa Bay,TBY,2,2,0,-1.2,-3.8,NA
win,is_fav,2016,Tennessee,TEN,5,2,0,0.4,-3.9,NA
win,is_fav,2016,Washington,WAS,5,4,0,3.7,-0.6,NA
win,is_fav,2017,Arizona,ARI,4,1,0,5.4,1.2,NA
win,is_fav,2017,Atlanta,ATL,10,5,0,3.9,-1.3,NA
win,is_fav,2017,Baltimore,BAL,7,3,0,8.8,2.9,NA
win,is_fav,2017,Buffalo,BUF,6,1,0,5.6,2.1,NA
win,is_fav,2017,Carolina,CAR,6,3,0,3.1,-2.3,NA
win,is_fav,2017,Chicago,CHI,1,2,0,3,-1.2,NA
win,is_fav,2017,Cincinnati,CIN,4,3,0,-1,-6.4,NA
win,is_fav,2017,Dallas,DAL,8,4,0,5.7,1.8,NA
win,is_fav,2017,Denver,DEN,3,6,0,-6.1,-9.9,NA
win,is_fav,2017,Detroit,DET,5,2,0,7.4,2.6,NA
win,is_fav,2017,Green Bay,GBY,5,1,0,5.2,0.9,NA
win,is_fav,2017,Houston,HOU,2,3,0,-2.4,-6.9,NA
win,is_fav,2017,Indianapolis,IND,2,0,0,6,2.8,NA
win,is_fav,2017,Jacksonville,JAX,8,4,0,8.5,2.8,NA
win,is_fav,2017,Kansas City,KCY,8,6,0,4.9,-0.6,NA
win,is_fav,2017,LA Chargers,LAC,6,2,0,12.6,6.7,NA
win,is_fav,2017,LA Rams,LAR,9,4,0,12.2,7.9,NA
win,is_fav,2017,Miami,MIA,1,1,0,-5.5,-9.8,NA
win,is_fav,2017,Minnesota,MIN,11,3,0,6.1,0.8,NA
win,is_fav,2017,New Orleans,NOR,11,1,0,11.8,5.1,NA
win,is_fav,2017,New England,NWE,15,4,0,9.4,0.8,NA
win,is_fav,2017,NY Giants,NYG,0,3,0,-9.7,-12.7,NA
win,is_fav,2017,NY Jets,NYJ,1,1,0,-10,-11.2,NA
win,is_fav,2017,Oakland,OAK,4,3,0,1.6,-4.1,NA
win,is_fav,2017,Philadelphia,PHI,10,1,0,14.5,7.4,NA
win,is_fav,2017,Pittsburgh,PIT,12,3,0,6.1,-0.9,NA
win,is_fav,2017,Seattle,SEA,6,2,0,7.9,-0.2,NA
win,is_fav,2017,San Francisco,SFO,2,1,0,6.7,3.5,NA
win,is_fav,2017,Tampa Bay,TBY,4,2,0,3.3,0.8,NA
win,is_fav,2017,Tennessee,TEN,9,3,0,1.1,-2.5,NA
win,is_fav,2017,Washington,WAS,4,2,0,0.2,-5.2,NA
win,is_home,2016,Arizona,ARI,4,3,1,7,0.1,NA
win,is_home,2016,Atlanta,ATL,7,3,0,9.7,4.7,NA
win,is_home,2016,Baltimore,BAL,6,2,0,8.1,4.8,NA
win,is_home,2016,Buffalo,BUF,4,4,0,4.9,2.3,NA
win,is_home,2016,Carolina,CAR,4,4,0,1.1,-2.8,NA
win,is_home,2016,Chicago,CHI,3,5,0,-1.5,0.5,NA
win,is_home,2016,Cincinnati,CIN,4,3,0,6.3,3.2,NA
win,is_home,2016,Cleveland,CLE,1,7,0,-11.5,-5.7,NA
win,is_home,2016,Dallas,DAL,7,2,0,8,3.4,NA
win,is_home,2016,Denver,DEN,5,3,0,4.5,2,NA
win,is_home,2016,Detroit,DET,6,2,0,1.5,-0.4,NA
win,is_home,2016,Green Bay,GBY,7,2,0,9.4,4.2,NA
win,is_home,2016,Houston,HOU,8,1,0,4.6,2.3,NA
win,is_home,2016,Indianapolis,IND,4,4,0,-3.1,-4.6,NA
win,is_home,2016,Jacksonville,JAX,1,6,0,-3.4,-1.8,NA
win,is_home,2016,Kansas City,KCY,6,3,0,7,2,NA
win,is_home,2016,LA Chargers,LAC,3,5,0,1.5,0.7,NA
win,is_home,2016,LA Rams,LAR,1,6,0,-11.3,-9.1,NA
win,is_home,2016,Miami,MIA,6,2,0,0.5,0.1,NA
win,is_home,2016,Minnesota,MIN,5,3,0,4.1,1.2,NA
win,is_home,2016,New Orleans,NOR,4,4,0,1.5,-1.2,NA
win,is_home,2016,New England,NWE,8,2,0,12.7,4.5,NA
win,is_home,2016,NY Giants,NYG,7,1,0,3.9,1.4,NA
win,is_home,2016,NY Jets,NYJ,2,6,0,-5.4,-3.8,NA
win,is_home,2016,Oakland,OAK,5,2,0,2.1,-0.4,NA
win,is_home,2016,Philadelphia,PHI,6,2,0,8.8,7.5,NA
win,is_home,2016,Pittsburgh,PIT,7,2,0,8.2,4,NA
win,is_home,2016,Seattle,SEA,8,1,0,12.3,3.4,NA
win,is_home,2016,San Francisco,SFO,1,7,0,-5.9,-2.1,NA
win,is_home,2016,Tampa Bay,TBY,4,4,0,-0.6,0.1,NA
win,is_home,2016,Tennessee,TEN,5,3,0,3,1.4,NA
win,is_home,2016,Washington,WAS,4,4,0,-0.5,-3.9,NA
win,is_home,2017,Arizona,ARI,5,3,0,0.8,3.1,NA
win,is_home,2017,Atlanta,ATL,5,3,0,5.8,-0.4,NA
win,is_home,2017,Baltimore,BAL,5,3,0,8.5,3,NA
win,is_home,2017,Buffalo,BUF,6,2,0,-0.1,-0.9,NA
win,is_home,2017,Carolina,CAR,6,2,0,3,-0.8,NA
win,is_home,2017,Chicago,CHI,3,5,0,2.1,3.4,NA
win,is_home,2017,Cincinnati,CIN,4,4,0,-3.1,-6.6,NA
win,is_home,2017,Cleveland,CLE,0,7,0,-9.7,-4.5,NA
